Continent,acq_date,Collections,Total,,,,,,,,,,,,,,,,,
AM,1753,7,33063,,,,,,,,,,,,,,,,,
AM,1825,26,33063,,,,,,,,,,,,,,,,,
AM,1842,29,33063,,,,,,,,,,,,,,,,,
AM,1844,1121,33063,,,,,,,,,,,,,,,,,
AM,1846,2,33063,,,,,,,,,,,,,,,,,
AM,1847,2,33063,,,,,,,,,,,,,,,,,
AM,1848,1,33063,,,,,,,,,,,,,,,,,
AM,1849,96,33063,,,,,,,,,,,,,,,,,
AM,1850,3,33063,,,,,,,,,,,,,,,,,
AM,1851,3,33063,,,,,,,,,,,,,,,,,
AM,1852,5,33063,,,,,,,,,,,,,,,,,
AM,1853,54,33063,,,,,,,,,,,,,,,,,
AM,1854,12,33063,,,,,,,,,,,,,,,,,
AM,1855,130,33063,,,,,,,,,,,,,,,,,
AM,1856,127,33063,,,,,,,,,,,,,,,,,
AM,1857,3,33063,,,,,,,,,,,,,,,,,
AM,1860,1131,33063,,,,,,,,,,,,,,,,,
AM,1861,19,33063,,,,,,,,,,,,,,,,,
AM,1862,5,33063,,,,,,,,,,,,,,,,,
AM,1863,5,33063,,,,,,,,,,,,,,,,,
AM,1865,13,33063,,,,,,,,,,,,,,,,,
AM,1867,68,33063,,,,,,,,,,,,,,,,,
AM,1868,47,33063,,,,,,,,,,,,,,,,,
AM,1869,81,33063,,,,,,,,,,,,,,,,,
AM,1870,12,33063,,,,,,,,,,,,,,,,,
AM,1871,24,33063,,,,,,,,,,,,,,,,,
AM,1872,111,33063,,,,,,,,,,,,,,,,,
AM,1873,37,33063,,,,,,,,,,,,,,,,,
AM,1874,5,33063,,,,,,,,,,,,,,,,,
AM,1875,78,33063,,,,,,,,,,,,,,,,,
AM,1876,136,33063,,,,,,,,,,,,,,,,,
AM,1877,110,33063,,,,,,,,,,,,,,,,,
AM,1878,46,33063,,,,,,,,,,,,,,,,,
AM,1879,47,33063,,,,,,,,,,,,,,,,,
AM,1880,2,33063,,,,,,,,,,,,,,,,,
AM,1881,121,33063,,,,,,,,,,,,,,,,,
AM,1882,123,33063,,,,,,,,,,,,,,,,,
AM,1883,17,33063,,,,,,,,,,,,,,,,,
AM,1884,4,33063,,,,,,,,,,,,,,,,,
AM,1885,3,33063,,,,,,,,,,,,,,,,,
AM,1886,334,33063,,,,,,,,,,,,,,,,,
AM,1887,161,33063,,,,,,,,,,,,,,,,,
AM,1888,65,33063,,,,,,,,,,,,,,,,,
AM,1889,31,33063,,,,,,,,,,,,,,,,,
AM,1890,1,33063,,,,,,,,,,,,,,,,,
AM,1891,7,33063,,,,,,,,,,,,,,,,,
AM,1892,84,33063,,,,,,,,,,,,,,,,,
AM,1893,5,33063,,,,,,,,,,,,,,,,,
AM,1894,92,33063,,,,,,,,,,,,,,,,,
AM,1895,18,33063,,,,,,,,,,,,,,,,,
AM,1896,23,33063,,,,,,,,,,,,,,,,,
AM,1897,11,33063,,,,,,,,,,,,,,,,,
AM,1898,13,33063,,,,,,,,,,,,,,,,,
AM,1899,24,33063,,,,,,,,,,,,,,,,,
AM,1900,407,33063,,,,,,,,,,,,,,,,,
AM,1901,131,33063,,,,,,,,,,,,,,,,,
AM,1902,3,33063,,,,,,,,,,,,,,,,,
AM,1903,6,33063,,,,,,,,,,,,,,,,,
AM,1904,62,33063,,,,,,,,,,,,,,,,,
AM,1905,1,33063,,,,,,,,,,,,,,,,,
AM,1906,5,33063,,,,,,,,,,,,,,,,,
AM,1907,110,33063,,,,,,,,,,,,,,,,,
AM,1908,72,33063,,,,,,,,,,,,,,,,,
AM,1909,58,33063,,,,,,,,,,,,,,,,,
